GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS	SEQ_NUMBER
4/12/2022	1610612758	110.0	0.465	0.895	0.302	30.0	46.0	1	46558110089530461
4/12/2022	1610612757	116.0	0.488	0.682	0.425	32.0	45.0	1	48857116068232451
3/12/2022	1610612752	100.0	0.455	0.714	0.323	18.0	45.0	0	45552100071418450
3/12/2022	1610612746	96.0	0.355	0.808	0.273	15.0	50.0	0	35546096080815500
3/12/2022	1610612766	96.0	0.391	0.885	0.208	15.0	44.0	0	39166096088515440
3/12/2022	1610612761	121.0	0.56	0.72	0.31	31.0	43.0	1	56061121072031431
3/12/2022	1610612750	128.0	0.528	0.8	0.333	25.0	44.0	0	52850128080025440
3/12/2022	1610612744	120.0	0.529	0.5	0.481	34.0	35.0	1	52944120050034351
3/12/2022	1610612762	111.0	0.452	0.786	0.361	20.0	44.0	0	45262111078620440
2/12/2022	1610612766	117.0	0.421	0.806	0.414	25.0	45.0	1	42166117080625451
2/12/2022	1610612737	117.0	0.557	0.643	0.357	24.0	43.0	1	55737117064324431
2/12/2022	1610612738	116.0	0.46	0.75	0.333	26.0	48.0	0	46038116075026480
2/12/2022	1610612751	114.0	0.537	0.682	0.344	27.0	41.0	1	53751114068227411
2/12/2022	1610612739	107.0	0.488	1.0	0.381	22.0	33.0	1	48839107100022331
2/12/2022	1610612749	129.0	0.532	0.8	0.395	29.0	42.0	0	53249129080029420
2/12/2022	1610612763	117.0	0.433	0.786	0.367	22.0	57.0	1	43363117078622571
2/12/2022	1610612759	99.0	0.388	0.75	0.282	26.0	49.0	0	38859099075026490
2/12/2022	1610612756	121.0	0.529	0.737	0.459	30.0	37.0	0	52956121073730370
2/12/2022	1610612762	139.0	0.554	0.865	0.441	29.0	47.0	1	55462139086529471
2/12/2022	1610612744	119.0	0.483	0.652	0.4	32.0	50.0	1	48344119065232501
1/12/2022	1610612765	131.0	0.543	0.583	0.429	29.0	52.0	1	54365131058329521
30/11/2022	1610612739	113.0	0.608	0.8	0.517	28.0	40.0	1	60839113080028401
30/11/2022	1610612753	108.0	0.494	0.88	0.296	26.0	33.0	0	49453108088026330
30/11/2022	1610612738	134.0	0.554	0.87	0.489	32.0	41.0	1	55438134087032411
30/11/2022	1610612751	113.0	0.464	0.923	0.423	22.0	35.0	1	46451113092322351
30/11/2022	1610612752	103.0	0.42	0.65	0.2	18.0	55.0	0	42052103065018550
30/11/2022	1610612750	109.0	0.461	0.789	0.308	26.0	29.0	1	46150109078926291
30/11/2022	1610612740	126.0	0.523	0.846	0.424	28.0	52.0	1	52340126084628521
30/11/2022	1610612760	119.0	0.511	0.667	0.333	17.0	52.0	1	51160119066717521
30/11/2022	1610612743	120.0	0.53	0.75	0.531	30.0	42.0	1	53043120075030421
30/11/2022	1610612756	132.0	0.527	0.905	0.455	22.0	46.0	1	52756132090522461
30/11/2022	1610612762	125.0	0.556	0.75	0.438	24.0	46.0	1	55662125075024461
30/11/2022	1610612758	137.0	0.505	0.862	0.372	28.0	58.0	1	50558137086228581
30/11/2022	1610612747	128.0	0.495	0.692	0.378	28.0	48.0	1	49547128069228481
29/11/2022	1610612765	110.0	0.506	0.65	0.333	28.0	30.0	0	50665110065028300
29/11/2022	1610612742	116.0	0.462	0.63	0.341	21.0	39.0	1	46242116063021391
29/11/2022	1610612757	112.0	0.467	0.733	0.486	24.0	43.0	0	46757112073324430
28/11/2022	1610612755	104.0	0.453	0.889	0.357	23.0	37.0	1	45355104088923371
28/11/2022	1610612764	142.0	0.571	0.852	0.484	31.0	34.0	1	57164142085231341
28/11/2022	1610612738	140.0	0.591	0.857	0.462	40.0	39.0	1	59138140085740391
28/11/2022	1610612751	109.0	0.543	0.857	0.321	20.0	42.0	1	54351109085720421
28/11/2022	1610612761	100.0	0.44	0.824	0.429	23.0	45.0	1	44061100082423451
28/11/2022	1610612740	105.0	0.448	0.9	0.281	21.0	49.0	1	44840105090021491
28/11/2022	1610612743	129.0	0.568	0.85	0.4	31.0	43.0	1	56843129085031431
28/11/2022	1610612762	107.0	0.482	0.4	0.388	30.0	45.0	0	48262107040030450
28/11/2022	1610612758	117.0	0.523	0.889	0.36	32.0	37.0	0	52358117088932370
28/11/2022	1610612747	115.0	0.43	0.774	0.355	23.0	57.0	0	43047115077423570
27/11/2022	1610612751	111.0	0.526	0.778	0.429	27.0	38.0	1	52651111077827381
27/11/2022	1610612750	114.0	0.443	0.759	0.4	22.0	31.0	0	44350114075922310
27/11/2022	1610612746	114.0	0.447	0.75	0.188	33.0	62.0	1	44746114075033621
27/11/2022	1610612737	98.0	0.398	0.947	0.278	24.0	42.0	0	39837098094724420
27/11/2022	1610612738	130.0	0.55	1.0	0.471	25.0	38.0	1	55038130100025381
27/11/2022	1610612765	94.0	0.456	0.538	0.286	14.0	36.0	0	45665094053814360
27/11/2022	1610612752	123.0	0.506	0.833	0.333	30.0	42.0	0	50652123083330420
27/11/2022	1610612753	103.0	0.456	0.76	0.3	21.0	26.0	0	45653103076021260
27/11/2022	1610612749	124.0	0.558	0.733	0.459	28.0	40.0	1	55849124073328401
26/11/2022	1610612761	105.0	0.432	0.808	0.308	20.0	48.0	1	43261105080820481
26/11/2022	1610612745	118.0	0.523	0.714	0.5	25.0	53.0	1	52345118071425531
26/11/2022	1610612759	138.0	0.505	0.7	0.486	33.0	47.0	0	50559138070033470
26/11/2022	1610612756	113.0	0.457	0.767	0.273	23.0	48.0	1	45756113076723481
25/11/2022	1610612766	110.0	0.449	0.688	0.32	24.0	55.0	1	44966110068824551
25/11/2022	1610612753	99.0	0.425	0.815	0.257	20.0	35.0	0	42553099081520350
25/11/2022	1610612752	129.0	0.438	0.857	0.317	27.0	44.0	0	43852129085727440
25/11/2022	1610612738	122.0	0.494	0.889	0.432	27.0	38.0	1	49438122088927381
25/11/2022	1610612754	128.0	0.5	0.789	0.353	28.0	41.0	1	50054128078928411
25/11/2022	1610612748	110.0	0.472	0.826	0.269	24.0	47.0	1	47248110082624471
25/11/2022	1610612745	128.0	0.471	0.829	0.343	25.0	59.0	1	47145128082925591
25/11/2022	1610612763	132.0	0.516	0.741	0.474	26.0	46.0	1	51663132074126461
25/11/2022	1610612749	117.0	0.506	0.72	0.469	27.0	43.0	1	50649117072027431
25/11/2022	1610612760	123.0	0.463	0.875	0.241	24.0	50.0	1	46360123087524501
25/11/2022	1610612759	94.0	0.38	0.75	0.182	21.0	50.0	0	38059094075021500
25/11/2022	1610612756	108.0	0.483	0.654	0.241	25.0	43.0	1	48356108065425431
25/11/2022	1610612744	129.0	0.515	0.833	0.444	33.0	49.0	1	51544129083333491
25/11/2022	1610612746	104.0	0.544	0.559	0.5	22.0	33.0	0	54446104055922330
23/11/2022	1610612766	107.0	0.478	0.619	0.261	25.0	44.0	1	47866107061925441
23/11/2022	1610612739	114.0	0.554	0.87	0.444	22.0	39.0	1	55439114087022391
23/11/2022	1610612754	101.0	0.385	0.688	0.364	25.0	30.0	0	38554101068825300
23/11/2022	1610612737	115.0	0.446	0.957	0.367	23.0	47.0	1	44637115095723471
23/11/2022	1610612738	125.0	0.536	0.857	0.5	29.0	38.0	1	53638125085729381
23/11/2022	1610612748	113.0	0.419	0.864	0.39	20.0	53.0	1	41948113086420531
23/11/2022	1610612761	98.0	0.356	0.76	0.241	16.0	52.0	0	35661098076016520
23/11/2022	1610612749	113.0	0.456	0.76	0.316	24.0	48.0	0	45649113076024480
23/11/2022	1610612760	126.0	0.433	0.857	0.45	26.0	39.0	0	43360126085726390
23/11/2022	1610612759	110.0	0.482	0.643	0.294	31.0	37.0	0	48259110064331370
23/11/2022	1610612762	116.0	0.494	0.842	0.439	31.0	38.0	0	49462116084231380
23/11/2022	1610612744	124.0	0.495	0.692	0.373	36.0	45.0	1	49544124069236451
22/11/2022	1610612755	115.0	0.434	0.813	0.5	19.0	49.0	1	43455115081319491
22/11/2022	1610612763	109.0	0.451	0.633	0.267	26.0	49.0	0	45163109063326490
22/11/2022	1610612743	108.0	0.5	0.654	0.263	28.0	42.0	0	50043108065428420
22/11/2022	1610612756	115.0	0.471	0.6	0.471	23.0	49.0	1	47156115060023491
21/11/2022	1610612739	114.0	0.6	0.87	0.526	24.0	37.0	1	60039114087024371
21/11/2022	1610612754	123.0	0.5	0.889	0.283	32.0	48.0	1	50054123088932481
21/11/2022	1610612741	121.0	0.517	0.75	0.483	26.0	51.0	1	51741121075026511
21/11/2022	1610612749	119.0	0.547	0.64	0.321	31.0	42.0	1	54749119064031421
21/11/2022	1610612750	105.0	0.435	0.85	0.298	30.0	40.0	1	43550105085030401
